iter	Logloss
0	0.6735389051
1	0.6543559493
2	0.6353610305
3	0.6181007515
4	0.6016634153
5	0.5860242663
6	0.5709113712
7	0.5564863756
8	0.5429961959
9	0.5299725888
10	0.517724639
11	0.5057444085
12	0.4943840721
13	0.4838669683
14	0.4735184034
15	0.4640171606
16	0.4546920947
17	0.4444604167
18	0.4361523948
19	0.4279897251
20	0.4204270159
21	0.4130280153
22	0.4061884345
23	0.3995757523
24	0.39346815
25	0.3876114881
26	0.381851297
27	0.3759626125
28	0.3707206218
29	0.3649555757
30	0.3604081905
31	0.3554182254
32	0.3503944913
33	0.3462170544
34	0.3417015653
35	0.3373324357
36	0.3325137843
37	0.3281502004
38	0.3244226275
39	0.3204313341
40	0.3171970786
41	0.3145639
42	0.3109619527
43	0.3075593819
44	0.3048056467
45	0.3016280432
46	0.2991488376
47	0.2962276283
48	0.2935850176
49	0.2907953792
50	0.288199495
51	0.2861955461
52	0.2841782909
53	0.2819633165
54	0.2800560544
55	0.2782718276
56	0.2770091513
57	0.2753897626
58	0.2739158207
59	0.2724470404
60	0.2713954655
61	0.2699056734
62	0.2684904441
63	0.2673382595
64	0.2661687694
65	0.2649159339
66	0.263629476
67	0.2627933355
68	0.2619516001
69	0.2605047918
70	0.2594108579
71	0.2584364717
72	0.256940461
73	0.2557001483
74	0.2543801723
75	0.2534597446
76	0.2525705495
77	0.2515973375
78	0.2507541042
79	0.2498254002
80	0.24881495
81	0.2478894273
82	0.2474402722
83	0.2467092483
84	0.245764236
85	0.2451159787
86	0.2441247097
87	0.2437360839
88	0.2428546684
89	0.2422790736
90	0.2415437127
91	0.2409826459
92	0.2404308565
93	0.2396537965
94	0.2389620402
95	0.2382985751
96	0.2375555783
97	0.2370237808
98	0.2363697311
99	0.2359655892
100	0.2354396479
101	0.2348233977
102	0.2341932934
103	0.2335526017
104	0.2331771478
105	0.2327452118
106	0.2322791811
107	0.2317048812
108	0.2312406139
109	0.230838182
110	0.2303191803
111	0.2299603147
112	0.2295082102
113	0.229071857
114	0.2287827722
115	0.2284254643
116	0.2280918687
117	0.2278530988
118	0.2274407705
119	0.2271534463
120	0.2267737856
121	0.2263917098
122	0.2260313126
123	0.2258398569
124	0.2255772869
125	0.2251889638
126	0.2248909053
127	0.2246120477
128	0.2242561909
129	0.2239638363
130	0.2236695043
131	0.2232683767
132	0.2230303104
133	0.2228011835
134	0.2224204591
135	0.2222237744
136	0.2219511091
137	0.2217109934
138	0.2213893085
139	0.2211168259
140	0.2208050495
141	0.2205152639
142	0.2202808932
143	0.2200757927
144	0.2199047311
145	0.2197051009
146	0.2194777783
147	0.2192316768
148	0.2189867588
149	0.2187863406
150	0.2185635994
151	0.2182981387
152	0.2181227782
153	0.2179749088
154	0.2177799508
155	0.2175130498
156	0.2173484819
157	0.2171594205
158	0.2168763246
159	0.216651407
160	0.2163601297
161	0.2161739546
162	0.2160285204
163	0.215844214
164	0.2156876967
165	0.2154530299
166	0.215190279
167	0.2149404385
168	0.2147516919
169	0.2146129928
170	0.214421674
171	0.2141648384
172	0.2140042087
173	0.213844748
174	0.2136602583
175	0.2134387792
176	0.2132326775
177	0.2129999843
178	0.2128055303
179	0.2126479845
180	0.2125220467
181	0.2122285298
182	0.2120103595
183	0.2118480478
184	0.2116831985
185	0.2115683824
186	0.2114564073
187	0.2112019851
188	0.2109981008
189	0.2108103826
190	0.2106632757
191	0.2105255354
192	0.2103141053
193	0.2101437216
194	0.2100186281
195	0.2099079472
196	0.2097828533
197	0.2096090305
198	0.2093955087
199	0.2092313489
200	0.2090763139
201	0.2090337968
202	0.208933446
203	0.2087758882
204	0.2085758118
205	0.2083828068
206	0.2082119433
207	0.2080578954
208	0.2078795314
209	0.2077888359
210	0.2076106158
211	0.2074649301
212	0.2073575398
213	0.207176728
214	0.2069841918
215	0.2067984346
216	0.2066606798
217	0.2065059602
218	0.2063287969
219	0.2062870329
220	0.2061462105
221	0.2059402898
222	0.2058601947
223	0.2057479581
224	0.205617741
225	0.2054875737
226	0.2053453768
227	0.2052474142
228	0.2050769894
229	0.2049183073
230	0.2047211501
231	0.2046279918
232	0.2045757272
233	0.2044066617
234	0.2042848974
235	0.2041303343
236	0.2039896885
237	0.2038575632
238	0.2037467454
239	0.2035248878
240	0.2034576366
241	0.2033236699
242	0.203216776
243	0.2030803629
244	0.203011427
245	0.2028096838
246	0.2027098577
247	0.2025050485
248	0.2023737226
249	0.202234013
250	0.2021227977
251	0.2019794995
252	0.2018811594
253	0.2017967155
254	0.2017568638
255	0.2016250475
256	0.2014988011
257	0.2013467519
258	0.201251367
259	0.2011315802
260	0.2009874404
261	0.2008330435
262	0.200701657
263	0.2005307548
264	0.2004663318
265	0.2003174507
266	0.2001472571
267	0.2000178361
268	0.1999743868
269	0.1998610496
270	0.199665581
271	0.1995108381
272	0.1994180042
273	0.1993298394
274	0.1992743361
275	0.1991604805
276	0.1990758583
277	0.1988901678
278	0.1988060413
279	0.1986554291
280	0.1985042205
281	0.1984491072
282	0.1982449015
283	0.1981576745
284	0.1980424237
285	0.1979618337
286	0.1979049265
287	0.1978613729
288	0.1977492188
289	0.1976571727
290	0.1976296861
291	0.1975447184
292	0.1974581312
293	0.1973161281
294	0.1971948779
295	0.1970147935
296	0.1969597581
297	0.196857752
298	0.1967227913
299	0.1966448955
