iter	Passed	Remaining
0	18	5656
1	36	5365
2	58	5800
3	76	5651
4	91	5385
5	105	5190
6	122	5119
7	137	5018
8	155	5035
9	173	5034
10	187	4919
11	200	4811
12	210	4651
13	223	4569
14	238	4525
15	248	4414
16	271	4519
17	288	4522
18	304	4508
19	320	4487
20	335	4451
21	355	4490
22	373	4498
23	387	4456
24	394	4342
25	401	4231
26	416	4209
27	429	4177
28	451	4216
29	469	4227
30	472	4099
31	485	4069
32	500	4052
33	507	3967
34	520	3939
35	534	3918
36	558	3970
37	572	3950
38	587	3933
39	604	3927
40	618	3909
41	622	3826
42	639	3824
43	666	3879
44	681	3860
45	695	3839
46	708	3813
47	723	3795
48	738	3781
49	762	3811
50	775	3784
51	789	3763
52	802	3738
53	816	3718
54	829	3692
55	847	3693
56	855	3646
57	869	3629
58	883	3608
59	897	3589
60	901	3530
61	915	3515
62	930	3499
63	951	3508
64	968	3501
65	983	3486
66	998	3472
67	1003	3423
68	1010	3382
69	1025	3368
70	1044	3369
71	1062	3363
72	1076	3348
73	1091	3332
74	1105	3316
75	1120	3302
76	1135	3287
77	1161	3306
78	1176	3291
79	1191	3277
80	1207	3263
81	1222	3250
82	1227	3209
83	1250	3215
84	1269	3211
85	1284	3196
86	1301	3185
87	1306	3147
88	1321	3133
89	1338	3122
90	1361	3126
91	1377	3113
92	1392	3100
93	1407	3085
94	1421	3067
95	1436	3052
96	1461	3059
97	1475	3042
98	1490	3026
99	1504	3008
100	1518	2991
101	1533	2976
102	1559	2982
103	1574	2967
104	1588	2949
105	1603	2935
106	1619	2921
107	1634	2906
108	1658	2906
109	1673	2891
110	1690	2877
111	1704	2861
112	1719	2845
113	1732	2826
114	1754	2823
115	1769	2806
116	1782	2788
117	1797	2772
118	1811	2755
119	1825	2738
120	1846	2732
121	1863	2719
122	1878	2702
123	1892	2686
124	1907	2669
125	1922	2655
126	1944	2648
127	1964	2639
128	1981	2626
129	1997	2612
130	2012	2596
131	2027	2579
132	2048	2572
133	2066	2560
134	2082	2545
135	2097	2529
136	2109	2510
137	2124	2494
138	2143	2483
139	2162	2471
140	2176	2454
141	2191	2438
142	2205	2421
143	2219	2404
144	2232	2386
145	2255	2379
146	2270	2363
147	2285	2347
148	2301	2332
149	2317	2317
150	2333	2302
151	2359	2297
152	2373	2280
153	2388	2264
154	2403	2248
155	2419	2233
156	2436	2218
157	2457	2208
158	2472	2192
159	2488	2177
160	2504	2162
161	2520	2146
162	2539	2134
163	2557	2121
164	2573	2105
165	2586	2087
166	2599	2070
167	2613	2053
168	2626	2035
169	2645	2023
170	2660	2007
171	2675	1991
172	2689	1974
173	2703	1957
174	2717	1940
175	2735	1926
176	2755	1914
177	2770	1898
178	2784	1882
179	2799	1866
180	2813	1849
181	2833	1837
182	2854	1825
183	2870	1809
184	2884	1793
185	2899	1776
186	2913	1760
187	2932	1746
188	2952	1734
189	2967	1718
190	2982	1701
191	2997	1686
192	3013	1670
193	3031	1656
194	3050	1642
195	3065	1626
196	3079	1610
197	3093	1593
198	3108	1577
199	3122	1561
200	3139	1546
201	3156	1531
202	3170	1514
203	3186	1499
204	3201	1483
205	3215	1467
206	3232	1452
207	3249	1437
208	3265	1421
209	3281	1406
210	3297	1390
211	3311	1374
212	3325	1358
213	3345	1344
214	3363	1329
215	3378	1313
216	3393	1298
217	3407	1281
218	3422	1265
219	3444	1252
220	3458	1236
221	3473	1220
222	3488	1204
223	3503	1188
224	3518	1172
225	3537	1158
226	3556	1143
227	3571	1127
228	3586	1112
229	3601	1095
230	3614	1079
231	3628	1063
232	3648	1049
233	3665	1033
234	3680	1017
235	3695	1002
236	3711	986
237	3726	970
238	3748	956
239	3763	940
240	3777	924
241	3793	909
242	3806	892
243	3821	877
244	3844	863
245	3860	847
246	3875	831
247	3890	815
248	3904	799
249	3917	783
250	3936	768
251	3957	753
252	3972	737
253	3987	722
254	4002	706
255	4017	690
256	4037	675
257	4058	660
258	4074	644
259	4090	629
260	4107	613
261	4122	597
262	4145	583
263	4162	567
264	4177	551
265	4194	536
266	4209	520
267	4225	504
268	4246	489
269	4262	473
270	4279	457
271	4294	442
272	4309	426
273	4322	410
274	4342	394
275	4358	379
276	4373	363
277	4388	347
278	4404	331
279	4419	315
280	4438	300
281	4453	284
282	4469	268
283	4483	252
284	4498	236
285	4511	220
286	4527	205
287	4545	189
288	4562	173
289	4577	157
290	4592	142
291	4607	126
292	4622	110
293	4643	94
294	4659	78
295	4675	63
296	4689	47
297	4703	31
298	4717	15
299	4740	0
